(Cisco Controller) >show ap summary 
Number of APs.................................... 2
Global AP User Name.............................. Not Configured
Global AP Dot1x User Name........................ Not Configured
AP Name             Slots  AP Model              Ethernet MAC       Location          Port  Country  Priority
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
3502-d               2     AIR-CAP3502I-N-K9     44:d3:ca:af:43:43      3750-A Port4  1        AU       3
1252-c               2     AIR-LAP1252AG-N-K9    c8:4c:75:2c:95:c0      3750-a-PORT3  1        NZ       1
